Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_TRACT,NUM_FB_16,PCT_FB_16
36029004500,14000US36029004500,"Census Tract 45, Erie County, New York","Census Tract 45, Erie County, New York",4500,474,8.06
36029004601,14000US36029004601,"Census Tract 46.01, Erie County, New York","Census Tract 46.01, Erie County, New York",4601,666,20.66
36029004602,14000US36029004602,"Census Tract 46.02, Erie County, New York","Census Tract 46.02, Erie County, New York",4602,262,22.7
36029004700,14000US36029004700,"Census Tract 47, Erie County, New York","Census Tract 47, Erie County, New York",4700,721,12.02
36029004800,14000US36029004800,"Census Tract 48, Erie County, New York","Census Tract 48, Erie County, New York",4800,237,5.81
36029004900,14000US36029004900,"Census Tract 49, Erie County, New York","Census Tract 49, Erie County, New York",4900,448,7.28
36029005000,14000US36029005000,"Census Tract 50, Erie County, New York","Census Tract 50, Erie County, New York",5000,347,14.83
36029005100,14000US36029005100,"Census Tract 51, Erie County, New York","Census Tract 51, Erie County, New York",5100,196,4.44
36029005201,14000US36029005201,"Census Tract 52.01, Erie County, New York","Census Tract 52.01, Erie County, New York",5201,125,4.45
36029005202,14000US36029005202,"Census Tract 52.02, Erie County, New York","Census Tract 52.02, Erie County, New York",5202,274,7.93
36029005300,14000US36029005300,"Census Tract 53, Erie County, New York","Census Tract 53, Erie County, New York",5300,159,9.51
36029005400,14000US36029005400,"Census Tract 54, Erie County, New York","Census Tract 54, Erie County, New York",5400,306,7.86
36029005500,14000US36029005500,"Census Tract 55, Erie County, New York","Census Tract 55, Erie County, New York",5500,802,20.82
36029005600,14000US36029005600,"Census Tract 56, Erie County, New York","Census Tract 56, Erie County, New York",5600,723,16.84
36029005700,14000US36029005700,"Census Tract 57, Erie County, New York","Census Tract 57, Erie County, New York",5700,211,8.07
36029005801,14000US36029005801,"Census Tract 58.01, Erie County, New York","Census Tract 58.01, Erie County, New York",5801,169,4.98
36029005802,14000US36029005802,"Census Tract 58.02, Erie County, New York","Census Tract 58.02, Erie County, New York",5802,1178,25.09
36029005900,14000US36029005900,"Census Tract 59, Erie County, New York","Census Tract 59, Erie County, New York",5900,254,6.39
36029006100,14000US36029006100,"Census Tract 61, Erie County, New York","Census Tract 61, Erie County, New York",6100,1869,39.08
36029006201,14000US36029006201,"Census Tract 62.01, Erie County, New York","Census Tract 62.01, Erie County, New York",6201,233,11.49
36029006301,14000US36029006301,"Census Tract 63.01, Erie County, New York","Census Tract 63.01, Erie County, New York",6301,164,3.63
36029006302,14000US36029006302,"Census Tract 63.02, Erie County, New York","Census Tract 63.02, Erie County, New York",6302,151,5.62
36029006501,14000US36029006501,"Census Tract 65.01, Erie County, New York","Census Tract 65.01, Erie County, New York",6501,528,18.08
36029006601,14000US36029006601,"Census Tract 66.01, Erie County, New York","Census Tract 66.01, Erie County, New York",6601,488,19.35
36029006602,14000US36029006602,"Census Tract 66.02, Erie County, New York","Census Tract 66.02, Erie County, New York",6602,199,8.36
36029006701,14000US36029006701,"Census Tract 67.01, Erie County, New York","Census Tract 67.01, Erie County, New York",6701,318,11.09
36029006702,14000US36029006702,"Census Tract 67.02, Erie County, New York","Census Tract 67.02, Erie County, New York",6702,350,12.23
36029006800,14000US36029006800,"Census Tract 68, Erie County, New York","Census Tract 68, Erie County, New York",6800,204,6.07
36029006901,14000US36029006901,"Census Tract 69.01, Erie County, New York","Census Tract 69.01, Erie County, New York",6901,1251,37.2
36029006902,14000US36029006902,"Census Tract 69.02, Erie County, New York","Census Tract 69.02, Erie County, New York",6902,656,16.02
36029007000,14000US36029007000,"Census Tract 70, Erie County, New York","Census Tract 70, Erie County, New York",7000,599,19.99
36029007101,14000US36029007101,"Census Tract 71.01, Erie County, New York","Census Tract 71.01, Erie County, New York",7101,251,7.02
36029007102,14000US36029007102,"Census Tract 71.02, Erie County, New York","Census Tract 71.02, Erie County, New York",7102,169,6.11
36029007202,14000US36029007202,"Census Tract 72.02, Erie County, New York","Census Tract 72.02, Erie County, New York",7202,265,14.35
36029016300,14000US36029016300,"Census Tract 163, Erie County, New York","Census Tract 163, Erie County, New York",16300,18,0.74
36029016400,14000US36029016400,"Census Tract 164, Erie County, New York","Census Tract 164, Erie County, New York",16400,184,6.25
36029016500,14000US36029016500,"Census Tract 165, Erie County, New York","Census Tract 165, Erie County, New York",16500,105,6.52
36029016600,14000US36029016600,"Census Tract 166, Erie County, New York","Census Tract 166, Erie County, New York",16600,140,5.2
36029016700,14000US36029016700,"Census Tract 167, Erie County, New York","Census Tract 167, Erie County, New York",16700,157,7.38
36029016800,14000US36029016800,"Census Tract 168, Erie County, New York","Census Tract 168, Erie County, New York",16800,261,8.18
36029016900,14000US36029016900,"Census Tract 169, Erie County, New York","Census Tract 169, Erie County, New York",16900,280,7.68
36029017000,14000US36029017000,"Census Tract 170, Erie County, New York","Census Tract 170, Erie County, New York",17000,72,2.44
36029017100,14000US36029017100,"Census Tract 171, Erie County, New York","Census Tract 171, Erie County, New York",17100,1484,27.01
